id,lyrics,location_x,location_y,location_name,location_name_en,song,Singer,singer_en,year,album,songwriter
1,這山頂如何高貴 似叫人踏上天梯,114.15125516860337,22.270467721624275,芬梨道,Findlay Rd,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦"
2,這山頂何其矜貴 怎可給停留一世,114.14561777977987,22.27576368758212,太平山,Victoria Peak,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦"
3,凌霄閣不吸引 沿山腰觀景更狠,114.14996210504727,22.271234256495507,凌霄阁,The Peak Tower,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦 "
4,寒流襲港驅車往地老天荒 橫行直闖車閃過白加道旁,114.15814766798363,22.27062469418369,白加道,Barker Rd,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦"
5,令這海景變成個謎 甚至灣仔也漸覺縮細,114.1733377289494,22.287365758769447,灣仔,Wanchai,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦"
6,妄想 這裡有天 會由樹 變成路 一醒覺 經已殺出 這條路,114.1731949544924,22.302729753455964,山林道,Hillwood Rd,山林道,謝安琪,Kay Tse,2016,Single,"黃偉文, 周博賢"
7,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,114.14048219682003,22.286948097648366,皇后大道西,Queen's Rd W,皇后大道東,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang",1999,皇后大道东,"林夕, 羅大佑"
8,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,114.1731168544918,22.274485323236284,皇后大道東,Queen's Rd E,皇后大道東,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang",1999,皇后大道东,"林夕, 羅大佑"
9,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,114.15526645449206,22.283309214059084,皇后大道中,Queen's Road Central,皇后大道東 ,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang",1999,皇后大道东,"林夕, 羅大佑"
10,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,114.16950906885049,22.31979796873716,旺角,Mong Kok,皇后大道東,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang",1999,皇后大道东,"林夕, 羅大佑"
11,站在大丸前 細心看看 我的路 再下個車站,114.18525342883608,22.28082234443082,大丸,Daimaru,下一站天后,Twins,Twins,2003,见习爱神,"黃偉文, 伍樂城"
12,到天后 當然最好 但華麗的星途 途中 一旦畏高 背後會否還有他 擁抱,114.19171506798394,22.282391696681128,天后站,Tin Hau Station,下一站天后,Twins,Twins,2003,见习爱神,"黃偉文, 伍樂城"
13,在百德新街的愛侶 面上有種顧昐自豪,114.18547868332811,22.28099772415636,百德新街,Paterson Street,下一站天后,Twins,Twins,2003,见习爱神,"黃偉文, 伍樂城"
14,在時代的廣場 誰都 總會有獎 我沒有歌迷 有他景仰,114.1821313733368,22.278137823488724,時代廣場,Times Square,下一站天后,Twins,Twins,2003,见习爱神,"黃偉文, 伍樂城"
15,無數個可能於你情願等 春秋裡湮滅時代裡誕生 城市的灰塵承托起極端愛恨,114.1821313733368,22.278137823488724,時代廣場,Times Square,時代廣場,許志安,Andy Hui,2014,新天地,"小克, 覃嘉健"
16,街邊太多人與車 繁華鬧市人醉夜 害怕下班等很久的車 排隊兼帶雨遮,114.17101569682059,22.310875777083652,彌敦道,Nathan Rd,彌敦道,洪卓立,Ken Hung,2008,Go,"頡臣, 謝杰"
17,油尖旺金毛玲看盡世間事,114.17352331660888,22.31517185529955,油尖旺,Yau Tsim Mong,油尖旺金毛玲,Serrini,Serrini,2016,Don't Text Him,Serrini
18,我哋大家 在獅子山下相遇上 總算是歡笑多於唏噓,114.18703443280472,22.35223889762027,獅子山,Lion Rock,獅子山下,羅文,Roman Tam,1979,好歌献给您,"黃霑, 顧嘉輝"
19,小河彎彎向南流 流到香江去看一看,114.15927375052911,22.287298936963637,香江,Heung Kong,東方之珠,羅大佑,Lo Tayou,1986,启示,羅大佑,
20,畢生也願記起 香港迪士尼 煙火璀璨夜晚定會很美,114.04135802736818,22.312765944959718,香港迪士尼,Hong Kong Disneyland,他約我去迪士尼,陳曉琪,Kellyjackie,2005,香港迪士尼乐园开幕纪念大碟,"許願庭／海藍,	陳曉琪"
21,就似這一區 曾經稱得上 美滿甲天下 但霎眼 全街的單位 快要住滿烏鴉,114.17235022565575,22.27556419523188,喜帖街,Lee Tung Street,喜帖街,謝安琪,Kay Tse,2008,Binary,"黃偉文, 郭偉亮"
22,枯樹正望向柏道 膠袋正飄向丹桂路 好像我邁向某段虔誠中,114.173321396821,22.329364806662703,丹桂路,Osmanthus Rd,北京道落雪了,林二汶,Eman Lam,2013,北京道落雪了,"周耀輝, 荒井壯一郎"
23,我佔領某國度 乘著玻璃冰凍 忽然初雪落北京道,114.17063159682,22.296297853003534,北京道,Peking Rd,北京道落雪了,林二汶,Eman Lam,2013,北京道落雪了,"周耀輝, 荒井壯一郎"
24,我信你也紅著眼 寂寞便在紅館中一起呼喊,114.182024719165,22.301254392540187,紅磡體育館,Hong Kong Coliseum,眼紅館,關智斌,Kenny Kwan,2007,男生围,"周耀輝, 林健華"
25,若我等共鳴人還可有誰 就唱一句衝得過捱下去很乾脆,114.21758412565664,22.313818005118296,偉業街,Wai Yip St,偉業街,胡鴻鈞,Hubert Wu,2018,Single,"范浩賢, 胡鴻鈞/蘇道哲"
26,誰曾離別天星下再相聚 你共我已成長幾歲,114.1684757357363,22.29396653135636,天星小輪,Star Ferry,Victoria,鄧紫棋,Gloria Tang,2017,Single,"G.E.M.鄧紫棋, 王祖藍, 陳國濱, 林洛民"
27,無論幾多次迷路不怕 沿著港灣會望見煙花,114.1715204600135,22.289672125415276,維多利亞港,Victoria Harbour,Victoria,鄧紫棋,Gloria Tang,2017,Single,"G.E.M.鄧紫棋, 王祖藍, 陳國濱, 林洛民"
28,黃金廣場內分手 在時代門外再聚,114.1842968361059,22.27988664847207,黃金廣場,Goldmark,黃金時代,陳奕迅,Eason Chan,2011,我的快乐时代,"林夕, 柳重言"
29,地鐵口 只好看人潮走 路要走 即使愛情失救,114.15768554708247,22.281980455168334,中環站,Central Station,中環,側田,Justin Lo,2014,阿田,"林若寧, 陳台証"
30,怎知道霎眼 就談到 赤柱了 錯過了 你我的家,114.21238060437985,22.218643833184576,赤柱,Stanley,老派約會之必要,MC張天賦,Michael Cheung,2022,This is MC,"黃偉文, GooChan / MC 張天賦"
31,我站在勝利道 方知輸了更好,114.17465656798461,22.31908525460677,勝利道,Victory Ave,流淚行勝利道,許志安,Andy Hui,2014,新天地,"周耀輝, 黃思律"
32,蘭桂坊有雪嗎 何以今晚約她 平平安安進酒吧,114.15566879311497,22.28097824638092,蘭桂坊,Lan Kwai Fong,今年沒聖誕,許志安,Andy Hui,2005,Life In Music,"黃偉文, 柳重言"
33,如有天置地門外 乘電車跨過大海,114.15782009682002,22.281186379700465,置地廣場,Landmark,櫻花樹下,張敬軒,Hins Cheung,2011,Urban Emotions,"林若寧, 伍卓賢"
34,你住波士頓近 我住太古城 我在課室用功 你還未蘇醒,114.21739720780347,22.286774695445384,太古城,Taikoo Shing,我是羊,楊千嬅,Miriam Yeung,2009,Miriam's Music Box,"於逸堯, 黃丹兒"
35,樂富筲箕灣 再去小西灣,114.24941717960364,22.26288353043051,小西灣,Siu Sai Wan,火星原居民,馮曦妤,A Little Love,2008,Fiona Fung,"馮曦妤, 陳光榮"
36,由荃灣直入柴灣終站坐冷板 深深慨嘆能力只會能應付太子站,114.11769057965591,22.37367109058162,荃灣站,Tsuen Wan Station,當荃灣愛上柴灣,陳奕迅,Eason Chan,1999,Single,"陳少琪/Swing, 郭偉亮"
37,由荃灣直入柴灣終站坐冷板 深深慨嘆能力只會能應付太子站,114.16837463306658,22.32506979228522,太子站,Prince Edward Station,當荃灣愛上柴灣,陳奕迅,Eason Chan,1999,Single,"陳少琪/Swing, 郭偉亮"
38,由荃灣直入柴灣終站坐冷板 深深慨嘆能力只會能應付太子站,114.23713899681954,22.264634908646833,柴灣站,Chai Wan Station,當荃灣愛上柴灣,陳奕迅,Eason Chan,1999,Single,"陳少琪/Swing, 郭偉亮"
39,出尖沙咀令人太累 世界之最 登上更空虛,114.17234986839713,22.298404889363912,尖沙咀,Tsim Sha Tsui,随意门,陳奕迅,Eason Chan,2002,The Line-Up,"黃偉文, 佳添"
40,二月二日 紅棉道初見 看你尷尬紅著一張臉,114.1594745544919,22.277599379702963,红棉路,Cotton Tree Dr,初會,吳雨霏,Kary Ng,2011,我本人,"林若寧, 偉景云"
41,等待 等待 等到 紅棉開出花瓣,114.1594745544919,22.277599379702963,紅棉道,Cotton Tree Dr,紅棉路上,梁詠琪,Gigi Leung,2016,BeSIDE Me-你不是一个人,"林若寧, 郭偉亮"
42,我四處碰在旺角 我四處跳舞街角,114.16950906885049,22.31979796873716,旺角,Mong Kok,旺角公主,莫文蔚,Karen Mok,2001,一朵金花,"孫國華, 伍佰"
43,登打士街的角落 眼淚注視 告白螢幕,114.17024192565671,22.315337129011066,登打士街,Dundas St,旺角公主,莫文蔚,Karen Mok,2001,一朵金花,"孫國華, 伍佰"
44,上海街自甘墮落 遺棄昨日回望,114.16930798332888,22.31353787967704,上海街,Shanghai St,旺角公主,莫文蔚,Karen Mok,2001,一朵金花,"孫國華, 伍佰"
45,月台在飛走 東京景緻沒有 東涌風景也尚算能獨有,113.94054987195135,22.289532256430103,東涌站,Tung Chung Station,東涌日和,Shine,Shine,2003,Natural Shine,"陳少琪, Edward Chan, Charles Lee, Ray Lee"
46,在樂活道上那一對伴侶 如何疲勞仍沉溺工作裡,114.18634289681953,22.271625879707038,樂活街,Broadwood Road,時代,古巨基,Leo Ku,2010,時代,"林夕, 謝國維"
